Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
9/29/21 21:15,Miamisburg,OH,USA,Triangle,~10 minutes,"A small, triangular object that was orange; it reminded me of a flame; was moving at a slow steady pace and appeared low and close.",10/19/21,
9/29/21 17:58,Egg Harbor,NJ,USA,Changing,One minute,"low altitude, quiet/silent object with visible distortion around and in front of it",4/22/22,Yes
9/29/21 12:49,Newburgh,IN,USA,,,MADAR Node 142,10/19/21,
9/29/21 05:50,Nanuet,NY,USA,,,MADAR Node 180,10/19/21,
9/29/21 01:00,Wittenberg,WI,USA,Oval,7 hours,Sighting of unexplained,10/19/21,
9/28/21 21:00,Cape Coral,FL,USA,Circle,3 minutes,"white round objects, later a flash of bright red light",10/19/21,
9/28/21 20:10,Beacon,NY,USA,Other,Time seemed to stand stil,While driving home from work I saw six very bright lights to my right and then a boomerang shaped craft was directly over my car.,6/22/22,
9/28/21 12:38,Garrettsville,OH,USA,,,MADAR Node 64,10/19/21,
9/28/21 04:52,Star Valley,AZ,USA,,,MADAR Node 53,10/19/21,
9/28/21 02:42,Corpus Christi,TX,USA,Oval,30-50seconds,On Sept 28th 2021 at 2:42am while taking out the trash I witnessed something incredible. At first I thought it was a group of white,10/19/21,
9/28/21 00:00,Baldwin,NY,USA,Sphere,>30 minutes,Object was hovering not sure how hi very bright orbital. Im sending pictures,10/19/21,
9/27/21 00:00,Essen (Germany),,Germany,Light,5-10 min,"I saw a yellowish / white light. It was night, so i couldnt see a shape of the object, but i would assume that it was round. I was sitt",10/19/21,
9/27/21 23:20,Devon,PA,USA,Sphere,1 - 2 Min,Chemo out of the sky like a meteor then level off and then became two objects and then became one and then became too and disappeared,10/19/21,
9/27/21 23:09,Miami,FL,USA,Triangle,5 seconds,A triangular-shaped aircraft moved very smoothly from North to South. It had very dim lights on the front 2 sides of the triangle >.,10/19/21,
9/27/21 22:00,Blowing Rock,NC,USA,Light,,I saw three lights in the sky that approached my car on the Parkway before I was turned around.,12/19/21,Yes
9/27/21 20:05,Myrtle Beach,NC,USA,Formation,30 Seconds,Three lights the size of stars circle each other in the sky.,10/19/21,
9/27/21 19:30,Princeton,WV,USA,Other,10 minutes,orange streaks in Princeton WV,10/19/21,
9/27/21 19:23,Tooele,UT,USA,Light,5 minutes,Watched jet chase light that disappeared 2-3 times,10/19/21,
9/27/21 14:30,Manhattan Beach,CA,USA,Disk,20 seconds,I was actually surfing just south of the Manhattan Beach pier & sitting on my board. There was an object that caught my eye. I thought,10/19/21,
9/27/21 05:30,Bartlett,NH,USA,Light,10 minutes,"Quite bright RED lights above an Irving Gas station on 302, Bartlett",10/19/21,
9/26/21 23:00,Auburn,MA,USA,Sphere,One hour,"White orb changing to blue, red, and orange. What started with one bright white orb would shift into different formations of multiple l",10/19/21,
9/26/21 19:45,Spokane,WA,USA,Fireball,2 mins,"Orange, looked like one large star, moved steadily across sky, Eastward direction, slowly disappeared into nothing.",10/19/21,
9/26/21 19:40,Fraser,MI,USA,Light,10 minutes,2 chrome objects hover over Fraser Michigan,10/19/21,
9/26/21 17:47,Los Altos,CA,USA,,,MADAR Node 52,10/19/21,
9/26/21 17:27,Louisville,KY,USA,Cigar,2 minutes or less,"Cigar shaped object flies across sky in very odd way, before stopping and orienting it's leading end up and accelerating out of sight.",10/19/21,
9/26/21 16:54,Rochester,NY,USA,,,MADAR Node 162,10/19/21,
9/26/21 16:47,Millerton,PA,USA,,,MADAR Node 104,10/19/21,
9/26/21 15:00,"Wattstown Rhondda Valleys, S.Wales",Rhondda Cynon Taf (UK/England,United Kingdom,Disk,seconds,I had seen it in the corner of my eye at about 1.30 as I was leaving town. I got back about 3pm and went straight to where I saw it.,3/4/22,
9/26/21 11:00,Seymour,CT,USA,Light,3 seconds,Blue light with absolute definition seen over Seymour,3/4/22,
9/26/21 10:04,Mt. Vernon,IN,USA,,,MADAR Node 119,10/19/21,
9/26/21 07:32,Garrettsville,OH,USA,,,MADAR Node 64,10/19/21,
9/26/21 07:00,Odessa,TX,USA,Oval,3 hours,Oval light in the sky that didnt move for about 3hours.,10/19/21,
9/26/21 04:00,Modena,NY,USA,Triangle,Two hours,"Bright, fiery orange orb changing to white, green, different shapes and formations. Hovering just above garage and weaving in and out t",10/19/21,
9/26/21,North Augusta,SC,USA,Unknown,20 minutes,Orange lights,10/19/21,
9/25/21 23:00,Joplin,MO,USA,Disk,2 mins,7 disc shaped crafts one 2 separate occasions within a week seperated by 3 occurances on each night.,10/19/21,
9/25/21 18:49,Franklin,KY,USA,,,MADAR Node 54,10/19/21,
9/25/21 16:33,West Chazy,NY,USA,,,MADAR Node 65,10/19/21,
9/25/21 12:00,Hecla Island (Canada),Manitoba,Canada,Circle,1.5 hours,"Circular flying objects at Winnipeg lake, between Hecla Island and Black Island",3/4/22,Yes
9/25/21 08:52,Middletown,CT,USA,Other,About 5 minutes,"Odd shaped object, didnt move but disappeared with no trace left behind",10/19/21,
9/25/21 08:00,Dearborn,MI,USA,Unknown,5 minutes,Unidentified Flying Object With No Lights Or Sound and Appears To Have A Smaller Object Circling And Moving Through It!,10/19/21,
9/25/21 05:00,Bremerton,WA,USA,Chevron,15 seconds,Lubbock lighting spotting over Naval Base Kitsap,10/19/21,
9/25/21 01:58,Minneapolis,MN,USA,Fireball,30 seconds,Reddish Pink Bright Light Moving Over Downtown NE Minneapolis,10/19/21,
9/24/21 20:30,Boswell,PA,USA,Cylinder,45 seconds,A bright distorted ovalish object appeared out of nowhere darted in the sky leaving a very bright line left for maybe 20 yards then dis,10/19/21,
9/24/21 15:31,Newburgh,IN,USA,,,MADAR Node 142,10/19/21,
9/24/21 15:24,Jonesboro,AR,USA,,,MADAR Node 143,10/19/21,
9/24/21 08:00,Creighton,PA,USA,Unknown,30 seconds,"On a perfectly clear morning I saw a shiny object, making movements that I think are impossible with our tech. It then disappeared brie",10/19/21,
9/24/21 03:00,Fort Worth,TX,USA,Triangle,5 min,Two triangular shaped craft accompanied by loud roaring sound seen traveling west to east.,10/19/21,
9/23/21 22:43,Jackson,KY,USA,,Four or five minutes,Standing in the backyard of my house looking up stargazing,3/4/22,
9/23/21 22:05,Wenatchee,WA,USA,Triangle,5 minutes,9/23/2021 WENATCHEE WA TRIANGLE 5 MINUTES 2 PEOPLE WITNESSED A CRAFT FLOAT QUIETLY SOUTH TO NORTH,10/19/21,
9/23/21 20:41,Dixon,IL,USA,Formation,5-7 minutes,I was fishing on the Rock River and noticed these weird lights that made no sound but we're extremely close and kept doing the same rot,10/19/21,
9/23/21 18:45,Jamul,CA,USA,Circle,3 minutes,"Yellow circular and semi-circular object bouncing up, down and sideways in a fast and non-directional motion",10/19/21,
9/23/21 15:41,Norris City,IL,USA,,,MADAR Node 115,10/19/21,
9/23/21 10:30,Hubert,NC,USA,Formation,3-4 hours,"I was mowing my backyard on a beautiful, blue sky morning here in north Carolina when I noticed just under the sun, there were a bunch",10/19/21,
9/23/21 10:01,Fort Walton Beach,FL,USA,Cylinder,3 minutes,"Cylindrical Shaped UFO w/ Bright Reflective Panels Hovers Over Ft. Walton Beach, Florida",10/19/21,
9/23/21 07:18,Rutherford County,TN,USA,Cigar,1-2 minutes,"Observed a bright object next to the moon against a clear blue morning sky. Not a single cloud, jet trail, plane, nothing in the sky. N",10/19/21,
9/23/21 00:00,Albany,OR,USA,Circle,Unsure,Saw a round bright light in sky not moving or blinking like stars do when I zoomed in on video looked like a heat signature of a body i,10/19/21,
9/22/21 23:34,Jonesboro,AR,USA,,,MADAR Node 143,10/19/21,
9/22/21 20:30,Albany,OR,USA,Fireball,5 seconds,green ball of light descent,10/19/21,
9/22/21 20:30,Brainerd,MN,USA,Light,10 minutes,Solid white light traveling very fast,10/19/21,
9/22/21 14:22,Millerton,PA,USA,,,MADAR Node 104,10/19/21,
9/22/21 10:00,San Francisco,CA,USA,Oval,10 minutes,"itness, video, and zoom up stabilization of silver oval, broad daylight",10/19/21,
9/21/21 22:05,SWOKC/Moore,OK,USA,Sphere,5 seconds,Small sphere flew in curved pattern under small plane...accelerated until it faded out.,10/19/21,
9/21/21 18:58,Cidra (Puerto Rico),,Puerto Rico,Unknown,about seconds,i saw a large dark spacecraft,4/22/22,
9/21/21 10:00,San Francisco,CA,USA,Unknown,3 minutes,Two pitch black rectangle objects hovering on top of fog bank over Brisbane hills.,11/15/21,
9/21/21 08:15,Rancho Mirage,CA,USA,Oval,5 minutes,Orange flashing bright lights,10/19/21,
9/21/21 00:00,Natchitoches,LA,USA,Triangle,Every night,Every night I have these that stay above not house. Some hover and some actually fly around with red and green and blue lights flashing,10/19/21,
9/20/21 22:35,Antioch,CA,USA,Light,3 min,We seen three lights moving in fast formations above the apartment across from us. They were at first in a straight line but very quick,10/19/21,
9/20/21 20:15,Richfield,WI,USA,Rectangle,flashes,Flash of rectangular light in the eastern night sky in Wisconsin,10/19/21,
9/20/21 19:30,Pacific Palisades,CA,USA,Light,5 seconds,I was taking a video of the sunset over the mountains and observed a fast moving light while taking a video move across the mountain an,10/19/21,
9/20/21 19:20,Augusta,ME,USA,Circle,30 minutes,Went outside to watch the space station go overhead saw a dot in the south southeast sky from Waterville Maine. Looked at it through th,10/19/21,
